,fname,lname,nname,height,weight,reach,stance,win,lose,draw
480,Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0
481,Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,1,0
482,Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0
483,Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0
484,Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,8,7,0
485,Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,14,5,0
486,Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0
487,Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0
488,Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0
489,Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0
490,Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0
491,Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0
492,Frank,Caracci,,--,--,--,,2,3,0
493,Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0
494,Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0
495,Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0
496,Remo,Cardarelli,,--,135 lbs.,--,,7,5,0
497,Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0
498,Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0
499,Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0
500,Ronald,Carillo,,--,125 lbs.,--,,4,2,0
501,Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1
502,Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0
503,Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0
504,Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0
505,Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0
506,Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0
507,Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0
508,Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,14,2,0
509,Luana,Carolina,Dread,"5' 6""",125 lbs.,"69.0""",Orthodox,8,2,0
510,Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0
511,Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0
512,Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0
513,Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0
514,Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0
515,Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0
516,Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0
517,Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7
518,Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0
519,Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0
