,fname,lname,nname,height,weight,reach,stance,win,lose,draw
878,Matt,Dwyer,,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0
879,Rolando,Dy,Dy Incredible,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1
880,Ben,Earwood,,"5' 8""",170 lbs.,--,Orthodox,12,3,0
881,Cody,East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,12,3,0
882,Marvin,Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1
883,Mike,Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0
884,Maurice,Eazel,,"5' 7""",135 lbs.,--,,7,15,0
885,Vincent,Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,9,2,0
886,Ross,Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,20,10,0
887,Brian,Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1
888,Mark,Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0
889,Frankie,Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,23,9,1
890,Abdul-Kerim,Edilov,,"6' 2""",205 lbs.,--,Orthodox,17,4,0
891,Johnny,Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,28,13,0
892,Yves,Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1
893,Justin,Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0
894,Leon,Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,19,3,0
895,Te,Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0
896,Adli,Edwards,,--,145 lbs.,--,,4,1,0
897,Joselyne,Edwards,La Pantera,"5' 8""",135 lbs.,"70.0""",Orthodox,10,4,0
898,Tom,Egan,,"5' 11""",170 lbs.,--,Orthodox,7,5,0
899,Stephanie,Egger,,"5' 6""",135 lbs.,"68.0""",Orthodox,6,2,0
900,Justin,Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,19,7,1
901,Jon Olav,Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,6,3,0
902,Per,Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1
903,John,Elam,,--,--,--,,2,0,0
904,John Paul,Elias,,"6' 4""",205 lbs.,--,,3,1,0
905,Saul,Elizondo,,"5' 7""",135 lbs.,--,,6,8,0
906,Darren,Elkins,The Damage,"5' 10""",145 lbs.,"71.0""",Orthodox,27,9,0
907,Jake,Ellenberger,The Juggernaut,"5' 9""",170 lbs.,"71.0""",Orthodox,31,15,0
908,Joe,Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0
909,Tim,Elliott,,"5' 7""",125 lbs.,"66.0""",Southpaw,18,12,1
910,Eddy,Ellis,Fast,"5' 9""",170 lbs.,--,Orthodox,21,16,1
911,Lisa,Ellis,,"5' 4""",115 lbs.,--,,15,11,0
912,Anna,Elmose,Panda,"5' 3""",115 lbs.,--,Orthodox,3,2,0
913,Cameron,Else,Camchida,"5' 9""",135 lbs.,"71.0""",Switch,10,5,0
914,Aaron,Ely,The Cyborg,"5' 8""",135 lbs.,--,,5,2,0
915,Sovannahry,Em,The Sweet Savage,"5' 4""",135 lbs.,--,,3,1,0
916,Ramazan,Emeev,Gorets,"5' 10""",170 lbs.,"76.0""",Southpaw,20,5,0
917,Aleksander,Emelianenko,,"6' 6""",255 lbs.,--,Orthodox,23,7,0
918,Fedor,Emelianenko,The Last Emperor,"6' 0""",230 lbs.,"74.0""",Orthodox,36,5,0
919,Rob,Emerson,The Saint,"5' 9""",155 lbs.,"70.0""",Orthodox,18,12,0
920,Jamall,Emmers,Pretty Boy,"5' 10""",145 lbs.,"74.0""",Orthodox,18,6,0
921,Josh,Emmett,,"5' 6""",145 lbs.,"70.0""",Orthodox,16,2,0
922,Marius,Enache,,"5' 11""",155 lbs.,--,,3,3,0
923,Kevin,Engel,The Hitman,"6' 2""",170 lbs.,--,,5,1,0
924,Kolton,Englund,White Assassin,"5' 10""",155 lbs.,"69.0""",Orthodox,9,4,0
925,Oliver,Enkamp,,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0
926,Alex,Enlund,,"5' 10""",145 lbs.,--,Orthodox,14,2,0
927,Kenny,Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0
928,Ian,Entwistle,Enty,"5' 5""",135 lbs.,--,Orthodox,9,3,0
929,Andy,Enz,Tank Mode,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0
930,Won Jin,Eoh,,"5' 7""",160 lbs.,--,Orthodox,5,5,1
931,Josh,Epps,,--,130 lbs.,--,,6,7,0
932,Tom,Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1
933,Konstantin,Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0
934,Julian,Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,26,10,0
935,Nick,Ertl,,"5' 9""",155 lbs.,--,,8,6,0
936,Chel,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0
937,Bobby,Escalante,,--,130 lbs.,--,,5,6,0
938,Eric,Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1
939,Pro,Escobedo,,--,205 lbs.,--,,1,0,0
940,Cole,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0
941,Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0
942,Evan,Esguerra,,--,145 lbs.,--,,8,7,0
943,Carla,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,19,6,0
944,Juan,Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",,11,2,0
945,Jordan,Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0
946,Jodie,Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0
947,Achilles,Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,0,0
948,Terry,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0
949,Fred,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0
950,Scott,Ettling,,--,135 lbs.,--,,4,2,0
951,Sijara,Eubanks,SarJ,"5' 4""",135 lbs.,"67.0""",Orthodox,8,6,0
952,Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0
953,Rashad,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1
954,Doug,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0
955,Ashlee,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,5,0
956,Dan,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0
957,Tonya,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0
958,Movsar,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,15,0,0
959,Andre,Ewell,Mr. Highlight,"5' 8""",135 lbs.,"75.0""",Southpaw,17,8,0
960,Neal,Ewing,,--,185 lbs.,--,,6,0,0
961,Jessica,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,10,0
962,Edward,Faaloloto,,--,155 lbs.,"70.0""",,2,5,0
963,Urijah,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0
964,Melinda,Fabian,,"5' 6""",125 lbs.,"66.0""",,4,4,2
965,Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0
966,Bartosz,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0
967,Ron,Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0
968,Jason,Fairn,,"6' 1""",230 lbs.,--,,4,5,0
969,Zarah,Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,4,0
970,Rinat,Fakhretdinov,Gladiator,"6' 0""",185 lbs.,--,,18,1,0
971,Maiquel,Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0
972,Pedro,Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,15,3,0
973,Brodie,Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0
974,Joao Paulo,Faria,,"5' 9""",155 lbs.,--,,1,1,0
975,Kalindra,Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1
976,Chance,Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0
977,Rico,Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0
978,Kelly,Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0
979,Rodney,Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3
980,Paul,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0
981,Carlos,Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0
982,JP,Felty,,--,170 lbs.,--,,4,5,0
983,Kevin,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0
984,Rhadi,Ferguson,,"5' 7""",205 lbs.,--,,3,0,0
985,Tony,Ferguson,El Cucuy,"5' 11""",155 lbs.,"76.0""",Orthodox,26,6,0
986,Josh,Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0
987,CJ,Fernandes,,"6' 2""",170 lbs.,--,,14,8,3
988,Bibiano,Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0
989,Alexandre,Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0
990,Cezar,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0
991,Diego,Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,17,4,0
992,Erisson,Ferreira da Silva,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,10,1,0
993,Scott,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0
994,Timo,Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0
995,Drew,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0
996,Scott,Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0
997,Ron,Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1
998,Deiveson,Figueiredo,Deus da Guerra,"5' 5""",125 lbs.,"68.0""",Orthodox,20,2,1
999,Francisco,Figueiredo,Sniper,"5' 6""",135 lbs.,"68.0""",Southpaw,12,4,1
1000,Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1
1001,Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0
1002,Paulo,Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3
1003,Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,21,8,0
1004,Mirko,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2
1005,Brady,Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0
1006,Jesse,Finney,,"6' 0""",170 lbs.,--,,5,1,0
1007,Jan,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0
1008,Luigi,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0
1009,Manon,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,8,1,0
1010,Luiz,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0
1011,Spencer,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0
1012,Chris,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1
1013,Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2,4,0
1014,Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1
1015,Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0
1016,Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,10,1,0
1017,Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0
1018,AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,9,0,0
1019,Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,16,5,0
1020,Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0
1021,Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0
1022,Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0
1023,Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0
1024,Cody,Floyd,,--,--,--,,2,0,0
1025,Bobby,Flynn,,--,170 lbs.,--,,6,4,0
1026,Caros,Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0
1027,Mal,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,5,0
1028,Matt,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,4,0
1029,AJ,Fonseca,,"5' 4""",145 lbs.,--,,5,4,0
1030,Rob,Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,19,4,0
1031,Claudionor,Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10,15,1
1032,Jesse,Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0
1033,Sterling,Ford,,"5' 10""",155 lbs.,--,,15,7,0
1034,Codale,Ford,Crunch Time,"5' 9""",170 lbs.,--,,11,9,0
1035,Jussier,Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0
1036,Renee,Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0
1037,Marcel,Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0
1038,Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0
1039,Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0
1040,Mason,Fowler,,"5' 11""",170 lbs.,--,,2,0,0
1041,Brandon,Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0
1042,Hermes,Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0
1043,Glaico,Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0
1044,Francisco,France,Kiko,"6' 0""",205 lbs.,--,,13,5,1
1045,John,Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0
1046,Rich,Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0
1047,Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0
1048,Stephanie,Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0
1049,Zane,Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0
1050,Gary,Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0
1051,Justin,Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0
1052,Ian,Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1
1053,Jason,Freeman,,"6' 2""",225 lbs.,--,,6,4,0
1054,Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,--,,26,6,0
1055,Patricio,Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",,26,4,0
1056,Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0
1057,Jeremy ,Freitag,,"6' 1""",205 lbs.,--,,6,10,0
1058,Rafael,Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0
1059,Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0
1060,Clay,French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0
1061,Mike,French,,"5' 10""",145 lbs.,--,,9,10,0
1062,Matt,Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,8,3,1
1063,Jinh Yu,Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11,6,0
1064,Artem,Frolov,,"5' 10""",185 lbs.,--,,11,0,0
1065,Sarah,Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0
1066,Don,Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1
1067,Tony,Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1
1068,Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0
1069,Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1
1070,Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0
1071,Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0
1072,Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5
1073,Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0
1074,Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0
1075,Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10
1076,Sam,Fulton,,--,--,--,,0,2,0
1077,Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2
1078,Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0
1079,Katsuaki,Furuki,,"6' 0""",168 lbs.,--,,1,1,0
1080,James,Gabert,,--,178 lbs.,--,,6,4,0
1081,Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1,0
1082,Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0
1083,Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13,1
1084,Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,22,3,0
1085,Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7,0
1086,Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Southpaw,17,4,0
1087,Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0
1088,Brandon,Gaines,,"6' 3""",185 lbs.,--,,5,21,0
1089,Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7,0
1090,Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1,0
1091,Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9,0
1092,Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7,3,0
1093,Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3,0
1094,Tom,Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19,10,0
1095,Turrell,Galloway,,"5' 3""",145 lbs.,--,,8,6,0
1096,Eric,Galvan,,--,155 lbs.,--,,0,0,0
1097,Andre,Galvao,,"5' 7""",168 lbs.,--,Orthodox,5,2,0
1098,Marcos,Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18,8,1
1099,Lucas,Gamaza,,--,170 lbs.,--,,8,4,0
1100,Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9,2,0
1101,Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,0
1102,Mateusz,Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,19,1,0
1103,Shamil,Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14,1,0
1104,Ariel,Gandulla,,"5' 11""",205 lbs.,--,Orthodox,7,9,0
1105,Ciryl,Gane,Bon Gamin,"6' 4""",245 lbs.,"81.0""",Orthodox,10,0,0
1106,Sean,Gannon,The Cannon,"6' 3""",265 lbs.,--,Southpaw,2,1,0
1107,Eduardo,Garagorri,,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,0
1108,Cody,Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,12,4,0
1109,Leonard,Garcia,Bad Boy,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,1
1110,Edgar,Garcia,,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0
1111,Alejandro,Garcia,Alex,"5' 7""",145 lbs.,--,,14,10,0
1112,Alex,Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,0
1113,Nick,Garcia,Nitro,"5' 4""",125 lbs.,--,,8,3,0
1114,Steve,Garcia,Mean Machine,"6' 0""",155 lbs.,"75.0""",Southpaw,12,4,0
1115,Elias,Garcia,,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,0
1116,Rafa,Garcia,Gifted,"5' 7""",155 lbs.,"70.0""",Orthodox,12,2,0
1117,Fernie,Garcia,,"5' 7""",135 lbs.,"67.0""",Orthodox,10,1,0
1118,Rulon,Gardner,,"6' 3""",265 lbs.,--,Orthodox,1,0,0
1119,David,Gardner,,"5' 11""",155 lbs.,--,Orthodox,18,21,0
1120,Ian,Garry,The Future,"6' 3""",170 lbs.,--,Orthodox,7,0,0
1121,Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,0
1122,Azamat,Gashimov,,"5' 6""",125 lbs.,--,Orthodox,8,3,0
1123,Brian,Gassaway,,"6' 1""",170 lbs.,--,Orthodox,29,20,2
1124,Kelvin,Gastelum,,"5' 9""",185 lbs.,"71.0""",Southpaw,17,8,0
1125,Willie,Gates,,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,0
1126,Melissa,Gatto,,"5' 5""",125 lbs.,"69.0""",Orthodox,7,0,2
1127,Louis,Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,0
1128,Manuel,Gaxhja,,"5' 8""",155 lbs.,--,Switch,7,0,0
1129,Charlene,Gellner,Princess,"5' 2""",125 lbs.,--,,0,4,0
1130,Chad,George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,0
1131,Paul,Georgieff,,"6' 2""",170 lbs.,--,Orthodox,6,2,0
1132,Brian,Geraghty,Duke,"5' 7""",155 lbs.,--,Orthodox,26,18,1
1133,Derek,Getzel,The Pretzel,"6' 0""",155 lbs.,--,,8,5,0
1134,Karine,Gevorgyan,The Princess,"5' 4""",125 lbs.,"63.0""",,3,3,0
1135,Darrel,Gholar,,"5' 8""",194 lbs.,--,Orthodox,5,6,0
1136,Tiki,Ghosn,,"5' 10""",170 lbs.,--,Orthodox,10,7,1
1137,Christos,Giagos,The Spartan,"5' 10""",155 lbs.,"71.0""",Orthodox,19,9,0
1138,Joe,Giannetti,,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,0
1139,Nick,Gibbons,,"5' 10""",155 lbs.,--,,2,1,0
1140,James,Giboo,,"5' 11""",170 lbs.,--,Orthodox,13,5,0
1141,Lance,Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,4,5,0
1142,Lee,Gibson,Lethal,"5' 7""",155 lbs.,--,,12,4,0
1143,Cody,Gibson,The Renegade,"5' 10""",135 lbs.,"71.0""",Orthodox,15,7,0
1144,Chase,Gibson,El Guero,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,0
1145,Kenny,Giddens,,"5' 11""",155 lbs.,--,,12,7,0
1146,Thomas,Gifford,The Young Lion,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,0
1147,Joseph,Gigliotti,Capo,"5' 11""",185 lbs.,--,Orthodox,7,2,0
1148,Joey,Gilbert,,"5' 11""",155 lbs.,--,Orthodox,2,3,0
1149,Trevin,Giles,,"6' 0""",185 lbs.,"74.0""",Orthodox,14,3,0
1150,Kultar,Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,12,8,0
1151,Jesse,Gillespie,,--,185 lbs.,--,,3,2,0
1152,Gregor,Gillespie,The Gift,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,0
1153,Jason,Gilliam,,"6' 0""",170 lbs.,--,Orthodox,14,9,0
1154,Micheal,Gillmore,The Gentleman,"5' 11""",185 lbs.,"72.0""",Orthodox,6,4,0
1155,Krishaun,Gilmore,,--,--,--,,0,1,0
1156,Alex,Gilpin,,"5' 7""",145 lbs.,--,Orthodox,11,1,0
1157,Bob,Gilstrap,,"6' 3""",200 lbs.,--,Orthodox,5,7,0
1158,Demetrius,Gioulacos,,"5' 11""",185 lbs.,--,,0,1,0
1159,Billy,Giovanella,Wolverine,"5' 8""",125 lbs.,--,,9,5,0
1160,He-Man,Gipson,,--,--,--,,1,2,0
1161,Israel,Giron,El Rojo,"5' 8""",155 lbs.,--,,19,5,0
1162,Brandon,Girtz,Cold Roll,"5' 7""",155 lbs.,--,,14,7,0
1163,Jason,Glaza,,"6' 0""",230 lbs.,--,,3,2,0
1164,Mike,Glenn,,--,205 lbs.,--,,5,6,0
1165,Ricky,Glenn,The Gladiator,"6' 0""",155 lbs.,"70.0""",Southpaw,22,6,2
1166,Mark,Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0
1167,Clint,Godfrey,,"5' 6""",135 lbs.,--,Southpaw,13,3,0
1168,Loopy,Godinez,,"5' 2""",125 lbs.,"61.0""",Orthodox,6,2,0
1169,Jason,Godsey,,"6' 2""",230 lbs.,--,Orthodox,16,16,0
1170,Allan,Goes,,"6' 0""",205 lbs.,--,Orthodox,10,5,2
1171,Jonny,Goh,,"5' 11""",155 lbs.,--,,3,4,0
1172,Hannah,Goldy,24K,"5' 4""",125 lbs.,"61.0""",Orthodox,6,2,0
1173,Marcelo,Golm,,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,0
1174,Sergio,Gomez,,"5' 6""",155 lbs.,--,Orthodox,10,3,0
1175,Frank,Gomez,,"5' 10""",135 lbs.,"67.0""",Orthodox,10,6,0
1176,Alan,Gomez,,--,155 lbs.,--,,2,0,0
1177,David,Gomez,,--,155 lbs.,--,,1,2,0
1178,Ulysses,Gomez,Useless,"5' 6""",125 lbs.,--,Orthodox,9,5,0
1179,Joey,Gomez,KO King,"5' 10""",135 lbs.,"73.0""",Orthodox,6,2,0
1180,Luis,Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0
1181,Joey,Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0
1182,Edson,Gomez,,"5' 8""",170 lbs.,"69.0""",Switch,6,2,0
1183,Silvana,Gomez Juarez,La Malvada,"5' 3""",115 lbs.,"65.0""",Orthodox,10,3,0
1184,Takanori,Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0
1185,Akihiro,Gono,,"5' 7""",170 lbs.,"68.0""",Switch,35,21,8
1186,Gabriel,Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0
1187,Justin,Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,6,0,0
1188,Fernando,Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,26,14,0
1189,Nick,Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17,12,0
1190,Fabian,Gonzalez,,"5' 10""",135 lbs.,--,,2,1,0
1191,Lewis,Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,11,3,0
