,name,nname,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
23352,Tainara Lisboa,Thai Panter,5,2,0,0,"5'6""",135lbs,0,,"Mar02,1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23366,Ariane Lipski,Queen of Violence,14,7,0,0,"5'6""",125lbs,67,Orthodox,"Jan26,1994",3.33,0.36,3.9,0.51,0.19,0.2,0.55,0.4
23380,Lucio Linhares,,19,8,0,0,"6'2""",185lbs,0,Orthodox,"Dec08,1973",0.99,0.22,3.47,0.34,1.8599999999999999,0.5,0.5,1.9
23394,Austin Lingo,Lights Out,9,1,0,0,"5'10""",145lbs,70,Orthodox,"Jul10,1994",4.0,0.42,3.8200000000000003,0.58,0.67,0.66,0.8,0.0
23408,John Lineker,Hands of Stone,31,9,0,0,"5'3""",135lbs,67,Orthodox,"Jun12,1990",5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6000000000000001
23422,Jake Lindsey,The Librarian,12,7,0,0,"5'11""",155lbs,0,Switch,"Jun21,1986",3.44,0.52,4.01,0.46,0.65,0.33,0.5,0.0
23436,Miguel Linares,,2,4,0,0,--,--,0,,--,6.51,0.5,8.84,0.36,0.0,0.0,0.0,0.0
23450,Mabelly Lima,,7,1,0,0,"5'2""",135lbs,0,Orthodox,"Jan25,1994",3.07,0.63,5.67,0.44,0.0,0.0,1.0,0.0
23464,Matt Lindland,The Law,22,9,0,0,"6'0""",185lbs,74,Southpaw,"May17,1970",2.62,0.5,1.56,0.52,3.01,0.48,0.6000000000000001,1.3
23478,Douglas Lima,The Phenom,29,6,0,0,"6'1""",170lbs,0,,"Jan05,1988",1.92,0.36,2.84,0.6000000000000001,0.6000000000000001,1.0,0.46,0.0
23492,Dhiego Lima,,17,9,0,0,"6'2""",170lbs,75,Orthodox,"Jan31,1989",3.12,0.39,3.88,0.58,1.26,0.34,0.73,0.6000000000000001
23506,Mike Kyle,MAK,22,14,1,2,"6'4""",205lbs,77,Orthodox,"Mar31,1980",3.93,0.51,3.35,0.49,1.33,0.62,0.5,0.8
23520,Lina Kvokov,,0,3,0,0,"5'9""",135lbs,0,Orthodox,--,2.31,0.30000000000000004,12.12,0.19,0.0,0.0,0.0,0.0
23534,Jarrod Kwitty,,2,2,0,0,"5'8""",185lbs,0,,--,0.53,0.5,4.4,0.32,8.0,0.5,0.0,2.0
23548,Kaleo Kwan,Leo Boy,11,16,0,0,"5'7""",155lbs,0,,"Aug01,1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23562,Guram Kutateladze,Georgian Viking,12,3,0,0,"5'11""",155lbs,72,Orthodox,"Jan08,1992",3.83,0.42,4.37,0.58,0.5,0.12,0.77,0.0
23576,Kyle Kurtz,,7,5,0,0,--,170lbs,0,,--,1.31,0.36,2.95,0.52,1.23,0.2,0.0,2.5
23590,Eldari Kurtanidze,,0,1,0,0,"5'6""",235lbs,0,Orthodox,"Apr16,1972",0.47000000000000003,0.2,3.7199999999999998,0.6000000000000001,0.0,0.0,0.0,0.0
23604,Ramazan Kuramagomedov,,8,0,0,0,"6'1""",170lbs,73,Orthodox,"Aug23,1996",11.67,0.67,9.13,0.54,1.0,0.14,0.0,0.0
23618,Tsuyoshi Kurihara,,10,8,2,0,"5'10""",185lbs,0,Orthodox,"Jul13,1973",0.0,0.0,12.0,0.5,0.0,0.0,0.0,0.0
23632,Korey Kuppe,,8,4,0,0,"6'5""",170lbs,77,Switch,"Jan23,1989",0.73,0.73,1.33,0.31,0.0,0.0,0.6900000000000001,1.0
23646,Leo Kuntz,The Lion,18,4,1,0,"5'10""",155lbs,0,Orthodox,"Oct03,1983",1.6800000000000002,0.32,3.8,0.45,1.99,0.25,0.33,0.7000000000000001
23660,Yana Kunitskaya,,14,6,0,1,"5'6""",135lbs,68,Orthodox,"Nov11,1989",4.28,0.56,2.94,0.5,1.53,0.53,0.5,0.2
