iter	Logloss
0	0.6902969577
1	0.6875618401
2	0.6846645941
3	0.6817687216
4	0.6790136023
5	0.6760038085
6	0.6736281913
7	0.6701861251
8	0.6670677632
9	0.6644029995
10	0.6618045052
11	0.6592629174
12	0.6568844346
13	0.6539915838
14	0.6517501014
15	0.6492812395
16	0.64742489
17	0.6447052489
18	0.6427155039
19	0.6402953119
20	0.6381638543
21	0.6362034943
22	0.6343238965
23	0.6322156222
24	0.6298240828
25	0.6276212988
26	0.6254755835
27	0.6234122305
28	0.621291747
29	0.6193496019
30	0.6178298919
31	0.6161839268
32	0.6143776855
33	0.6127097992
34	0.6113299582
35	0.6094831354
36	0.6076605414
37	0.605939796
38	0.6042784421
39	0.6029454874
40	0.6011533206
41	0.5994142762
42	0.5978800174
43	0.5964504683
44	0.5945192625
45	0.5931649848
46	0.5917356944
47	0.5901194594
48	0.5890914426
49	0.5875253814
50	0.585578333
51	0.5840406985
52	0.5825659752
53	0.5811022172
54	0.5798036888
55	0.5782657321
56	0.5769230587
57	0.5757273173
58	0.5744604707
59	0.5732318701
60	0.5720564683
61	0.5710143806
62	0.5695175906
63	0.5682050391
64	0.5671035349
65	0.5660780804
66	0.5646960585
67	0.5634843493
68	0.5626110216
69	0.5615533849
70	0.5604244141
71	0.5592211554
72	0.5581910158
73	0.5572373911
74	0.556306455
75	0.5550745937
76	0.5540633235
77	0.5529997817
78	0.55202185
79	0.5510182578
80	0.5499947799
81	0.548918094
82	0.5481592515
83	0.547238285
84	0.5461805329
85	0.5451882071
86	0.5441755089
87	0.5429941621
88	0.5418600717
89	0.5410634412
90	0.5401172618
91	0.5392739897
92	0.5381301578
93	0.5372346878
94	0.5365064125
95	0.5359060546
96	0.5347180006
97	0.5337363723
98	0.5327919524
99	0.5321300857
100	0.5312080541
101	0.5301113395
102	0.5293478334
103	0.5288433877
104	0.5278906346
105	0.5272706164
106	0.5264593883
107	0.5257944612
108	0.5251216872
109	0.5245548874
110	0.5238684162
111	0.5231525106
112	0.5223946145
113	0.5217441749
114	0.5212010638
115	0.5203437795
116	0.5196662013
117	0.5191106961
118	0.5181615044
119	0.5175511894
120	0.5170235534
121	0.5163677704
122	0.5157982897
123	0.5153025682
124	0.5147056969
125	0.5139822008
126	0.5131838166
127	0.5125673796
128	0.5119413459
129	0.5111691319
130	0.5104189994
131	0.5099683828
132	0.5094938015
133	0.5090491555
134	0.508521864
135	0.507790164
136	0.5070903994
137	0.5063139414
138	0.505635722
139	0.5051509998
140	0.5045318993
141	0.5039269012
142	0.503434917
143	0.5029851816
144	0.5024416855
145	0.5017112889
146	0.5013051738
147	0.5008039587
148	0.5000141227
149	0.4995321945
150	0.4991194807
151	0.498548925
152	0.4980595028
153	0.4974301949
154	0.4969336689
155	0.4962121584
156	0.4957838371
157	0.494937781
158	0.4946085446
159	0.4939929313
160	0.4931555823
161	0.492575487
162	0.4922384531
163	0.4918772191
164	0.491473954
165	0.4909295381
166	0.4903228156
167	0.4899232673
168	0.4890280637
169	0.4883021396
170	0.4878634273
171	0.4874954502
172	0.486959971
173	0.4864068185
174	0.4859211532
175	0.4854948032
176	0.4849850543
177	0.4844719466
178	0.483960871
179	0.4836039113
180	0.4830703454
181	0.4826296837
182	0.4821321216
183	0.4815839815
184	0.4811135766
185	0.4806387347
186	0.4803612756
187	0.4798463367
188	0.4793008973
189	0.4787678281
190	0.4782785314
191	0.4778211314
192	0.4772668921
193	0.4767317659
194	0.4761377975
195	0.4756738933
196	0.4751532579
197	0.4747965632
198	0.4742138965
199	0.4738559801
200	0.4735922119
201	0.4730305723
202	0.4723268036
203	0.471916647
204	0.4715155415
205	0.4711998304
206	0.4707487169
207	0.4701284413
208	0.4697339016
209	0.4691554899
210	0.4686278011
211	0.467910855
212	0.4674673593
213	0.4669374548
214	0.4665122603
215	0.4662418823
216	0.4660264509
217	0.4653047877
218	0.4650071731
219	0.4644842103
220	0.4639027035
221	0.4635352218
222	0.4631428697
223	0.4627172659
224	0.4624288424
225	0.4621369316
226	0.4617961321
227	0.4611376238
228	0.4607737539
229	0.460410883
230	0.4600640099
231	0.4594629789
232	0.4590318352
233	0.4586360639
234	0.458373618
235	0.4580292776
236	0.4575794421
237	0.4572618659
238	0.4569213881
239	0.4563473314
240	0.4559758282
241	0.4556165494
242	0.4551859523
243	0.4547157012
244	0.4544075871
245	0.4540219594
246	0.4537463657
247	0.4534517815
248	0.4528566935
249	0.4525043218
250	0.4522872583
251	0.4520508412
252	0.4516910477
253	0.4515278144
254	0.4511148227
255	0.450814881
256	0.4504910008
257	0.4501315023
258	0.449607654
259	0.4492272693
260	0.4489811455
261	0.4485470421
262	0.4481763015
263	0.4479218158
264	0.4476100777
265	0.4474350582
266	0.4470261458
267	0.4465872237
268	0.4463414506
269	0.4460649915
270	0.4456631975
271	0.4452743058
272	0.444709679
273	0.4443939268
274	0.4439810752
275	0.4437175619
276	0.4434680641
277	0.4429787261
278	0.4426147821
279	0.4422951233
280	0.4418876889
281	0.4416147479
282	0.4412163366
283	0.4409284404
284	0.4404647146
285	0.4401263663
286	0.4400203777
287	0.4397167984
288	0.4394556877
289	0.439196385
290	0.4387090166
291	0.4385015229
292	0.4381793211
293	0.4379656781
294	0.4377423773
295	0.4374522662
296	0.4369885006
297	0.4367033823
298	0.4365085993
299	0.4361350954
300	0.4356986363
301	0.4354696917
302	0.4351680138
303	0.4347611725
304	0.4344062438
305	0.4340637021
306	0.433788848
307	0.4334311113
308	0.4328801737
309	0.4324928923
310	0.4322732227
311	0.4318871916
312	0.4315366459
313	0.431147843
314	0.4308687915
315	0.4304502882
316	0.430275738
317	0.4299312323
318	0.429542419
319	0.4291467774
320	0.4288907853
321	0.4287704202
322	0.4285388239
323	0.4280729043
324	0.4278319228
325	0.4274586262
326	0.4271184556
327	0.426866659
328	0.4266317252
329	0.4263232492
330	0.4259025949
331	0.4255633992
332	0.4251838897
333	0.4247946824
334	0.4243776381
335	0.4238724036
336	0.4233360561
337	0.4229527468
338	0.4228443566
339	0.4225589849
340	0.4222861913
341	0.4221111954
342	0.4218786187
343	0.4215222692
344	0.421251866
345	0.4210933564
346	0.4207579424
347	0.4203627095
348	0.4200949566
349	0.4197142825
350	0.4194768609
351	0.4192891777
352	0.4188388555
353	0.4186008166
354	0.4182657088
355	0.4179045119
356	0.4174996698
357	0.4171261423
358	0.4167929536
359	0.4164651071
360	0.416001083
361	0.4157596009
362	0.4155309893
363	0.4152490012
364	0.415002342
365	0.4146909661
366	0.4143693691
367	0.4140758917
368	0.4136348385
369	0.4134571688
370	0.4131554811
371	0.4126519482
372	0.4123841101
373	0.4120316906
374	0.4117766635
375	0.411326004
376	0.4108531657
377	0.4104501332
378	0.4101526011
379	0.4098121831
380	0.4093973923
381	0.4091637105
382	0.4089288695
383	0.4084750083
384	0.4081683485
385	0.4079054797
386	0.4076266952
387	0.4073899256
388	0.4071515353
389	0.4068464367
390	0.4067082825
391	0.4063167072
392	0.4059171388
393	0.40566999
394	0.4055537362
395	0.4052543098
396	0.4049388713
397	0.4045982565
398	0.4043346647
399	0.4039355555
400	0.4037752221
401	0.4034638595
402	0.403290166
403	0.4029583764
404	0.4025801478
405	0.4022202352
406	0.4020529511
407	0.4016937417
408	0.4014474543
409	0.4011865888
410	0.4009311103
411	0.4007424625
412	0.400463433
413	0.4003483024
414	0.400052813
415	0.3997561021
416	0.3994459884
417	0.399210171
418	0.3989495723
419	0.3986466407
420	0.3983760661
421	0.3981756207
422	0.3979269314
423	0.3976674221
424	0.3974245154
425	0.3970398858
426	0.3969045945
427	0.3964976005
428	0.3961039553
429	0.3958988367
430	0.3957116254
431	0.3954181412
432	0.3952135002
433	0.3948816707
434	0.3947733244
435	0.394574627
436	0.3943515518
437	0.394140402
438	0.3939005922
439	0.3937243633
440	0.3934605253
441	0.3931035416
442	0.3927042731
443	0.3925825942
444	0.3922691852
445	0.391903113
446	0.3916340212
447	0.3913975313
448	0.3910080545
449	0.3907609815
450	0.3904650328
451	0.3900757686
452	0.3899824079
453	0.3896718847
454	0.3893561394
455	0.3892160131
456	0.3889342276
457	0.3886002092
458	0.3883303685
459	0.3882527684
460	0.387915865
461	0.3877985157
462	0.3875375322
463	0.3872589259
464	0.3871062647
465	0.3869235199
466	0.3867388735
467	0.3864702621
468	0.3862185555
469	0.386027807
470	0.3857977737
471	0.3855910338
472	0.3852673675
473	0.3849569079
474	0.3847477111
475	0.3845622045
476	0.3843073923
477	0.3841416768
478	0.3838240175
479	0.38361152
480	0.3833877548
481	0.3832006568
482	0.3830227323
483	0.3828010455
484	0.3825736109
485	0.3823866492
486	0.3821579339
487	0.3819524573
488	0.381661651
489	0.3814443211
490	0.3812977063
491	0.3810150438
492	0.3808051454
493	0.3805396612
494	0.380111466
495	0.3798662805
496	0.3796751645
497	0.3793131501
498	0.379031531
499	0.3787861426
500	0.3785503977
501	0.3782920843
502	0.3781713424
503	0.3780383471
504	0.3778425112
505	0.377657126
506	0.3773170045
507	0.376932903
508	0.3767284971
509	0.3764856926
510	0.3761174914
511	0.3759313918
512	0.375720237
513	0.3754128946
514	0.3752295212
515	0.3750808672
516	0.3747922725
517	0.3746446339
518	0.3745296847
519	0.3742808242
520	0.3739628681
521	0.3738117413
522	0.3735614571
523	0.3732330592
524	0.3729778739
525	0.372783017
526	0.3725325779
527	0.3722458753
528	0.3718850827
529	0.3717716932
530	0.3714193934
531	0.3712512601
532	0.3708120102
533	0.3706108658
534	0.37045233
535	0.3701538874
536	0.3698725618
537	0.3696458185
538	0.3694044435
539	0.3691254526
540	0.3688486288
541	0.3685835467
542	0.3682193011
543	0.3680734107
544	0.3677517527
545	0.367529194
546	0.3673726147
547	0.3671861133
548	0.3668109617
549	0.3666138338
550	0.3663519596
551	0.3660852509
552	0.3659935817
553	0.3658195388
554	0.3655762697
555	0.3653761759
556	0.3651184199
557	0.3650005063
558	0.364850844
559	0.3646087411
560	0.3641929362
561	0.3640063897
562	0.3638081403
563	0.3635353595
564	0.3632296453
565	0.3630210384
566	0.3627066292
567	0.362529099
568	0.3623439087
569	0.3621629519
570	0.3618811249
571	0.361646321
572	0.3612121297
573	0.3610175522
574	0.3607684766
575	0.3605466027
576	0.3603034881
577	0.3600864021
578	0.3598199814
579	0.3596049871
580	0.3593875941
581	0.3591190522
582	0.3589526082
583	0.3587157285
584	0.358575175
585	0.3582537045
586	0.3580216907
587	0.3578075518
588	0.3575587066
589	0.3572564796
590	0.3570322375
591	0.3567672855
592	0.3564635864
593	0.3562521625
594	0.3559770342
595	0.3558311849
596	0.3557136566
597	0.3554787958
598	0.3552693234
599	0.3549671654
600	0.3547895971
601	0.3545851989
602	0.3543504717
603	0.3542124865
604	0.3539538821
605	0.3537411444
606	0.353395362
607	0.3532264245
608	0.3529116972
609	0.3526142798
610	0.3523418299
611	0.3520080604
612	0.3518817761
613	0.3516566263
614	0.3514283823
615	0.3511582538
616	0.3510102465
617	0.3508156088
618	0.3506203498
619	0.3504086907
620	0.3502219404
621	0.3500007928
622	0.3498226809
623	0.3495967873
624	0.3493029432
625	0.3490747407
626	0.348830246
627	0.3485367322
628	0.3483844372
629	0.3482266449
630	0.3479893223
631	0.3476734406
632	0.3473128005
633	0.3470022501
634	0.3467237483
635	0.3464220246
636	0.3460804259
637	0.3459543582
638	0.3457205549
639	0.345487603
640	0.3452187763
641	0.3449490008
642	0.3447695817
643	0.3445458743
644	0.3442435602
645	0.3439304303
646	0.3436645266
647	0.3434341626
648	0.3431156623
649	0.342932862
650	0.3425362686
651	0.3423575731
652	0.3422100969
653	0.3418958824
654	0.3417675412
655	0.3415811801
656	0.3412303931
657	0.3409536867
658	0.3407422223
659	0.3405650151
660	0.3403310069
661	0.3401339205
662	0.3399984696
663	0.3398205583
664	0.3397804954
665	0.3396492746
666	0.3394619722
667	0.3392049926
668	0.3389131889
669	0.3386497109
670	0.3384808524
671	0.3382426193
672	0.3380144333
673	0.3378287726
674	0.3376094409
675	0.3373178634
676	0.3371145756
677	0.3369668617
678	0.3368041889
679	0.3366043263
680	0.3362986353
681	0.3361373092
682	0.3359727134
683	0.3357959623
684	0.3356923883
685	0.3355075002
686	0.3352199387
687	0.3350427252
688	0.3349132461
689	0.3347335991
690	0.3345151836
691	0.33441709
692	0.3340898307
693	0.3338918128
694	0.3336267423
695	0.3334587049
696	0.3331904411
697	0.332954267
698	0.3327720707
699	0.3325243461
700	0.3324666794
701	0.3323644571
702	0.3322183678
703	0.3320141988
704	0.3318742366
705	0.3316641738
706	0.3314296373
707	0.3311586727
708	0.3307375903
709	0.3304405518
710	0.3303788987
711	0.3301246244
712	0.3300086274
713	0.3298259151
714	0.3294926943
715	0.329287488
716	0.329105722
717	0.3289226801
718	0.3287237882
719	0.3285607043
720	0.3284201696
721	0.3281794486
722	0.3278191382
723	0.3276404901
724	0.3273568189
725	0.3272170813
726	0.3269640832
727	0.3268638766
728	0.326681032
729	0.3265151683
730	0.3263115745
731	0.3261080084
732	0.325982534
733	0.3257264985
734	0.3253916216
735	0.3252379384
736	0.3250930879
737	0.324880064
738	0.3248014311
739	0.3246196563
740	0.32437739
741	0.3241373231
742	0.3239115558
743	0.3237467289
744	0.3234988042
745	0.3233362382
746	0.323175688
747	0.3229781663
748	0.32283874
749	0.3226209996
750	0.3224179907
751	0.322275905
752	0.3220247039
753	0.3217386225
754	0.3215399054
755	0.3212313345
756	0.3210846062
757	0.3209648059
758	0.3206514402
759	0.3204408273
760	0.32027351
761	0.3200279757
762	0.3197733456
763	0.3195327126
764	0.3193069073
765	0.3191922585
766	0.3189354135
767	0.3186319239
768	0.3184067579
769	0.3181844878
770	0.3179550882
771	0.3178468866
772	0.317669362
773	0.3174268476
774	0.3171762611
775	0.3168379045
776	0.3165909998
777	0.3164190574
778	0.3161209032
779	0.3159106471
780	0.3158080444
781	0.3155664519
782	0.3152604429
783	0.3150329227
784	0.3147666917
785	0.3145521952
786	0.3143614719
787	0.3141793239
788	0.314077801
789	0.3138481157
790	0.3136273988
791	0.3135261207
792	0.3133427259
793	0.3132345376
794	0.3130000167
795	0.312800039
796	0.3126111061
797	0.3125365812
798	0.3123748621
799	0.3121767223
800	0.3119313552
801	0.3118088475
802	0.3115549462
803	0.3113406321
804	0.3111513106
805	0.3109025309
806	0.3106781526
807	0.3105509829
808	0.310333609
809	0.3100156801
810	0.3097677382
811	0.3094543427
812	0.3092790112
813	0.309086532
814	0.308813721
815	0.3085999399
816	0.3084007366
817	0.3083162872
818	0.3081245959
819	0.3079352696
820	0.3077904529
821	0.3076461686
822	0.3074844618
823	0.3072229372
824	0.3070557806
825	0.3069408535
826	0.3066202853
827	0.3064434591
828	0.3062516134
829	0.3060490806
830	0.3058271283
831	0.3057148938
832	0.3054153375
833	0.3052195623
834	0.3050491074
835	0.3049075288
836	0.3046858482
837	0.3044546647
838	0.3040019492
839	0.3038198736
840	0.3035797644
841	0.303351453
842	0.3031981157
843	0.3030284739
844	0.3028158708
845	0.3026001706
846	0.3024782229
847	0.3023203149
848	0.3022424332
849	0.3020052468
850	0.3017960548
851	0.3015756453
852	0.301375557
853	0.3010889782
854	0.3009817
855	0.3007298707
856	0.3005751391
857	0.3002563565
858	0.3001026849
859	0.2999153166
860	0.2997451395
861	0.2994814986
862	0.2992287458
863	0.2990451424
864	0.2988497718
865	0.2986541481
866	0.2984086464
867	0.2982015035
868	0.2979581507
869	0.2977693466
870	0.2975722949
871	0.2974341054
872	0.2971478836
873	0.2969520258
874	0.2967492049
875	0.2965934847
876	0.2964272087
877	0.2963129781
878	0.2962337043
879	0.2960501302
880	0.2959605144
881	0.295771375
882	0.2955336401
883	0.2953536051
884	0.2952656297
885	0.2950925142
886	0.2949854954
887	0.294759237
888	0.2946103262
889	0.2944056238
890	0.2941921871
891	0.2940513104
892	0.2938574942
893	0.2936417603
894	0.2934591432
895	0.2932475478
896	0.2930615268
897	0.2928458809
898	0.2926598627
899	0.2923856194
900	0.2922623492
901	0.2920448214
902	0.2918044432
903	0.291628276
904	0.2914187155
905	0.2912489619
906	0.2911356156
907	0.2909464636
908	0.2907721457
909	0.2905964254
910	0.290315657
911	0.2901910956
912	0.2899036913
913	0.2897332107
914	0.2895309047
915	0.2891929889
916	0.2889274803
917	0.2888765976
918	0.2886910049
919	0.2884524856
920	0.2882029483
921	0.2880536265
922	0.2878908409
923	0.2877133905
924	0.2875049511
925	0.2872703473
926	0.2868003451
927	0.2866438721
928	0.2863272406
929	0.286225124
930	0.2861291996
931	0.2859252657
932	0.2858476162
933	0.285580231
934	0.2854332114
935	0.2851743067
936	0.2849387324
937	0.284703602
938	0.2844993226
939	0.2842892534
940	0.2840790816
941	0.2837765857
942	0.2835198157
943	0.2832365197
944	0.283034503
945	0.2829020189
946	0.2826460794
947	0.282496314
948	0.282355782
949	0.2820421797
950	0.2817675871
951	0.2816780917
952	0.2814813957
953	0.2813231083
954	0.2811445089
955	0.2810138546
956	0.2808350906
957	0.2805349489
958	0.2802582938
959	0.2800438133
960	0.2798425641
961	0.2796635004
962	0.2795190875
963	0.2794186704
964	0.2791130518
965	0.2789736991
966	0.2787280208
967	0.2785075466
968	0.2782162908
969	0.278012527
970	0.2778844826
971	0.2777313339
972	0.2775638376
973	0.277464463
974	0.2773546304
975	0.2771544726
976	0.2769594716
977	0.2767366884
978	0.2765640718
979	0.2764271024
980	0.2762835643
981	0.2761245892
982	0.2759764333
983	0.2756908915
984	0.2755115752
985	0.2753479182
986	0.2750800918
987	0.2749324917
988	0.2746352301
989	0.274483157
990	0.2743319228
991	0.2741546362
992	0.2739529059
993	0.2737979171
994	0.2736695762
995	0.2733951994
996	0.2732253248
997	0.2730577889
998	0.2729045129
999	0.2727936995
