iter	Passed	Remaining
410	3080	4414
411	3085	4403
412	3091	4393
413	3096	4383
414	3102	4373
415	3108	4363
416	3113	4353
417	3119	4342
418	3124	4332
419	3130	4323
420	3137	4314
421	3142	4304
422	3148	4294
423	3155	4286
424	3161	4277
425	3167	4268
426	3174	4259
427	3179	4249
428	3189	4244
429	3199	4240
430	3208	4235
431	3218	4231
432	3240	4243
433	3252	4241
434	3261	4235
435	3270	4231
436	3279	4225
437	3288	4219
438	3295	4211
439	3301	4202
440	3309	4194
441	3317	4188
442	3323	4179
443	3330	4170
444	3336	4161
445	3342	4152
446	3349	4143
447	3355	4134
448	3362	4125
449	3370	4119
450	3376	4110
451	3382	4101
452	3388	4091
453	3395	4083
454	3404	4078
455	3412	4071
456	3422	4066
457	3430	4060
458	3440	4055
459	3448	4048
460	3457	4042
461	3466	4036
462	3473	4028
463	3479	4019
464	3485	4010
465	3490	4000
466	3496	3991
467	3502	3981
468	3507	3971
469	3513	3962
470	3519	3952
471	3526	3944
472	3532	3935
473	3541	3929
474	3549	3923
475	3559	3918
476	3568	3912
477	3577	3907
478	3587	3902
479	3596	3896
480	3605	3890
481	3618	3888
482	3628	3883
483	3649	3890
484	3655	3881
485	3660	3871
486	3667	3863
487	3673	3853
488	3680	3845
489	3685	3836
490	3692	3827
491	3698	3818
492	3704	3809
493	3710	3800
494	3716	3791
495	3722	3782
496	3728	3773
497	3734	3764
498	3741	3756
499	3747	3747
500	3753	3738
501	3761	3731
502	3767	3722
503	3774	3714
504	3783	3708
505	3791	3702
506	3797	3693
507	3803	3684
508	3809	3674
509	3815	3665
510	3820	3656
511	3826	3647
512	3831	3637
513	3837	3628
514	3842	3619
515	3848	3609
516	3853	3600
517	3858	3590
518	3864	3581
519	3869	3572
520	3877	3565
521	3883	3555
522	3888	3546
523	3894	3537
524	3899	3528
525	3904	3518
526	3910	3509
527	3915	3500
528	3921	3491
529	3930	3485
530	3939	3479
531	3949	3474
532	3959	3469
533	3966	3461
534	3972	3452
535	3978	3443
536	3986	3436
537	3991	3427
538	3999	3420
539	4005	3411
540	4010	3402
541	4017	3394
542	4022	3385
543	4030	3378
544	4035	3369
545	4043	3361
546	4048	3352
547	4053	3343
548	4059	3335
549	4065	3325
550	4070	3316
551	4075	3307
552	4081	3298
553	4086	3290
554	4092	3281
555	4102	3275
556	4111	3270
557	4118	3262
558	4123	3253
559	4129	3244
560	4135	3235
561	4140	3227
562	4146	3218
563	4151	3209
564	4156	3200
565	4162	3191
566	4167	3182
567	4172	3173
568	4179	3165
569	4184	3156
570	4190	3148
571	4195	3139
572	4204	3133
573	4210	3125
